"question","references","corpus_id"
"Quyết định số 818/QĐ-ĐHSPKT của Trường Đại học Sư phạm Kỹ thuật Hưng Yên ban hành ngày 26 tháng 5 năm 2021 thay thế cho quyết định nào?","[{""content"": ""Quyết định số 818/QĐ-ĐHSPKT của Trường Đại học Sư phạm Kỹ thuật Hưng Yên ban hành ngày 26 tháng 5 năm 2021 thay thế cho Quyết định số 1923/QĐ-ĐHSPKT ngày 26/9/2019 của Hiệu trưởng trường Đại học SPKT Hưng Yên về việc ban hành Quy chế về quản lý, in, cấp phát văn bằng, chứng chỉ, chứng nhận của Trường Đại học Sư phạm Kỹ thuật Hưng Yên."", ""start_index"": -1, ""end_index"": -1}]","4c6b373e-3fad-5dfe-8af6-653675e49917"
"Đối tượng nào chịu trách nhiệm thi hành Quyết định số 818/QĐ-ĐHSPKT về việc ban hành Quy chế bảo quản, lưu giữ, sử dụng, cấp phát văn bằng, chứng chỉ, chứng nhận của Trường Đại học Sư phạm Kỹ thuật Hưng Yên?","[{""content"": ""Trưởng các Phòng, Khoa, Trung tâm, Bộ môn GDTC-QP, các đơn vị, học viên, sinh viên và cá nhân có liên quan chịu trách nhiệm thi hành Quyết định số 818/QĐ-ĐHSPKT."", ""start_index"": 1465, ""end_index"": 1609}]","4c6b373e-3fad-5dfe-8af6-653675e49917"
"Văn bản nào của Bộ Giáo dục & Đào tạo được căn cứ để ban hành Quyết định số 818/QĐ-ĐHSPKT của Trường Đại học Sư phạm Kỹ thuật Hưng Yên?","[{""content"": ""Thông tư số 21/2019/TT-BGDĐT ngày 29/11/2019 của Bộ Giáo dục & Đào tạo về việc ban hành Quy chế quản lý bằng tốt nghiệp trung học cơ sở, bằng tốt nghiệp trung học phổ thông, bằng tốt nghiệp trung cấp sư phạm, bằng tốt nghiệp cao đẳng sư phạm, văn bằng giáo dục đại học và chứng chỉ của hệ thống giáo dục quốc dân được căn cứ để ban hành Quyết định số 818/QĐ-ĐHSPKT."", ""start_index"": 604, ""end_index"": 916}]","4c6b373e-3fad-5dfe-8af6-653675e49917"
"Đơn vị nào chịu trách nhiệm quản lý thống nhất văn bằng, chứng chỉ, chứng nhận của Trường Đại học Sư phạm Kỹ thuật Hưng Yên?","[{""content"": ""Phòng Đào tạo chịu trách nhiệm quản lý thống nhất văn bằng, chứng chỉ, chứng nhận của Trường Đại học Sư phạm Kỹ thuật Hưng Yên."", ""start_index"": 151, ""end_index"": 229}]","01e01bae-732f-52d0-b595-48c01e27363e"
"Người được cấp văn bằng, chứng chỉ, chứng nhận có nghĩa vụ gì khi phát hiện thông tin trên văn bằng, chứng chỉ, chứng nhận không chính xác?","[{""content"": ""Người được cấp văn bằng, chứng chỉ, chứng nhận có nghĩa vụ kiểm tra tính chính xác các thông tin ghi trên văn bằng, chứng chỉ, chứng nhận trước khi ký nhận."", ""start_index"": -1, ""end_index"": -1}]","01e01bae-732f-52d0-b595-48c01e27363e"
"Trường Đại học Sư phạm Kỹ thuật Hưng Yên có trách nhiệm gì nếu văn bằng đã cấp cho người học bị sai do lỗi của trường?","[{""content"": ""Trường Đại học Sư phạm Kỹ thuật Hưng Yên có trách nhiệm cấp lại văn bằng, chứng chỉ, chứng nhận cho người học nếu văn bằng, chứng chỉ, chứng nhận đã cấp bị viết sai do lỗi của nhà trường."", ""start_index"": -1, ""end_index"": -1}]","01e01bae-732f-52d0-b595-48c01e27363e"
"Ai là người chịu trách nhiệm trước Bộ Giáo dục và Đào tạo và trước pháp luật về việc quản lý, cấp phát văn bằng, chứng chỉ, chứng nhận của Trường Đại học Sư phạm Kỹ thuật Hưng Yên?","[{""content"": ""Hiệu trưởng (hoặc Phó Hiệu trưởng được Hiệu trưởng ủy quyền) chịu trách nhiệm trước Bộ Giáo dục và Đào tạo và trước pháp luật về việc quản lý, cấp phát văn bằng, chứng chỉ, chứng nhận."", ""start_index"": 4154, ""end_index"": 4338}]","01e01bae-732f-52d0-b595-48c01e27363e"
"Khoa chuyên môn, trung tâm, bộ môn có trách nhiệm gì liên quan đến thông tin trên văn bằng, chứng chỉ, chứng nhận?","[{""content"": ""Khoa chuyên môn, trung tâm, bộ môn có trách nhiệm cung cấp các thông tin dự kiến ghi trên văn bằng, chứng chỉ, chứng nhận cho người học để người học kiểm tra tính chính xác; yêu cầu người học xác nhận về việc đã kiểm tra thông tin, ký xác nhận các yêu cầu chỉnh sửa thông tin và cung cấp các căn cứ yêu cầu chỉnh sửa thông tin."", ""start_index"": -1, ""end_index"": -1}]","01e01bae-732f-52d0-b595-48c01e27363e"
"Phòng ban nào của Trường Đại học Sư phạm Kỹ thuật Hưng Yên chịu trách nhiệm thiết kế mẫu phôi văn bằng, chứng chỉ, chứng nhận?","[{""content"": ""Phòng Đào tạo của Trường Đại học Sư phạm Kỹ thuật Hưng Yên chịu trách nhiệm thiết kế mẫu phôi văn bằng, chứng chỉ, chứng nhận."", ""start_index"": -1, ""end_index"": -1}]","8cf2301e-a7db-5c98-8532-11a196555e22"
"Theo quy chế về bảo quản, lưu giữ, sử dụng, cấp phát văn bằng, chứng chỉ, chứng nhận của Trường Đại học Sư phạm Kỹ thuật Hưng Yên, trước ngày 31 tháng 12 hàng năm, nhà trường phải báo cáo những thông tin gì cho Bộ Giáo dục & Đào tạo?","[{""content"": ""Trước ngày 31 tháng 12 hàng năm, Trường Đại học Sư phạm Kỹ thuật Hưng Yên báo cáo Bộ Giáo dục & Đào tạo số lượng phôi văn bằng, chứng chỉ đã in (nếu có); số lượng phôi văn bằng, chứng chỉ đã sử dụng; số lượng văn bằng, chứng chỉ đã cấp trong năm."", ""start_index"": -1, ""end_index"": -1}]","8cf2301e-a7db-5c98-8532-11a196555e22"
